,player_name,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
d9273ee7,Marcus Stoinis,-38.04012054946956,158.0,5.970797157565902,103.0,-32.06932339190366,261.0,0.0,-32.06932339190366,-0.3795186200225285
0994d0ae,Vijay Shankar,-28.307356725561377,196.0,-5.049239338338315,52.0,-33.356596063899694,248.0,0.0,-33.356596063899694,-0.3947526161408248
a12e1d51,L Malinga,0.0,0.0,-34.63357770101154,279.0,-34.63357770101154,279.0,0.0,-34.63357770101154,-0.4098648248640419
0a3d54b9,Aaron,-3.307063921917358,7.0,-31.99512582838863,74.0,-35.302189750305985,81.0,0.0,-35.302189750305985,-0.4177773934947454
d2a989fc,D Kulkarni,0.01283884915271094,3.0,-35.53890962373895,219.0,-35.526070774586245,222.0,0.0,-35.526070774586245,-0.4204268730720266
99d63244,K Jadhav,-35.60464003270972,172.0,0.0,0.0,-35.60464003270972,172.0,0.0,-35.60464003270972,-0.4213566867776298
fb66ce1f,Chris Morris,-14.416151217995063,37.0,-21.74583992369808,206.0,-36.16199114169314,243.0,0.0,-36.16199114169314,-0.4279525578898597
b410bd3d,Sandeep Lamichhane,0.0,0.0,-37.24777832552593,138.0,-37.24777832552593,138.0,0.0,-37.24777832552593,-0.4408021103612536
b4b99816,S Gill,-39.28946815532661,242.0,0.0,0.0,-39.28946815532661,242.0,0.0,-39.28946815532661,-0.46496412018138
30a45b23,S Smith,-41.389224553692486,283.0,0.0,0.0,-41.389224553692486,283.0,0.0,-41.389224553692486,-0.48981330832772174
98ae73b1,Chawla,-13.31645334742026,38.0,-28.951313766246756,267.0,-42.26776711366702,305.0,0.0,-42.26776711366702,-0.5002102617002014
e087956b,B Stokes,-4.933309941323702,100.0,-39.25779883454751,109.0,-44.19110877587121,209.0,0.0,-44.19110877587121,-0.5229717014896
1c17e270,R Uthappa,-47.18075948817215,255.0,0.0,0.0,-47.18075948817215,255.0,0.0,-47.18075948817215,-0.5583521832919781
13c35c9e,T Southee,-5.534071095126904,9.0,-43.88709896632102,58.0,-49.421170061447924,67.0,0.0,-49.421170061447924,-0.5848659178869576
1e66c162,J Unadkat,-3.058970324837933,3.0,-49.102153336819,230.0,-52.16112366165693,233.0,0.0,-52.16112366165693,-0.6172914042799637
70d205c9,A Rayudu,-85.67178398495054,307.0,0.0,0.0,-85.67178398495054,307.0,0.0,-85.67178398495054,-1.0138672660940893
